published,product_sku,product_name,category_path,product_s_desc,product_price,product_box,file_description,file_meta,file_title,file_url,file_url_thumb,product_in_stock,step_order_level,min_order_level,product_ordering
1,d011,Кавказский,"Дорогая, буду поздно/ Салаты","Салат из свежих помидоров и огурцов, с красным луком, грецким орехом, перцем чили и заправкой из винного уксуса и ароматного нерафинированного растительного масла ",220,1,Кавказский,Кавказский,Кавказский,,,99999999,1,1,11
1,d012,Греческий,"Дорогая, буду поздно/ Салаты","С огурцами, помидорами, болгарским перцем, красным луком, оливковым маслом, сыром фета и соком лимона. ",220,1,Греческий,Греческий,Греческий,,,99999999,1,1,12
1,d013,Сырная тарелка,"Дорогая, буду поздно/ Закуски","Пармезан, гауда, моцарелла, брынза, благородный сыр с плесенью, козий сыр. С мёдом, орехами и виноградом. ",390,1,Сырная тарелка,Сырная тарелка,Сырная тарелка,,,99999999,1,1,1
1,d014,Мясная тарелка,"Дорогая, буду поздно/ Закуски","Ассорти мясной гастрономии (бастурма, сыровяленый окорок, свиная сыровяленая шея) с соусом тысяча островов. ",390,1,Мясная тарелка,Мясная тарелка,Мясная тарелка,,,99999999,1,1,2
1,d015,Рыбная тарелка,"Дорогая, буду поздно/ Закуски","Угорь, сёмга с/с, сибирская рыба (омуль или сиг) тосты из белого хлеба и соус sweet chili ",390,1,Рыбная тарелка,Рыбная тарелка,Рыбная тарелка,,,99999999,1,1,3
1,d016,Тарелка сезонных овощей,"Дорогая, буду поздно/ Закуски",Свежие сезонные овощи с фермерского рынка. ,200,1,Тарелка сезонных овощей,Тарелка сезонных овощей,Тарелка сезонных овощей,,,99999999,1,1,4
1,d017,Соленья,"Дорогая, буду поздно/ Закуски","Соленые огурцы, малосольные огурцы, красные помидоры, квашеная, капуста, кабачковая икра) ",220,1,Соленья,Соленья,Соленья,,,99999999,1,1,5
1,d018,Пивная тарелка,"Дорогая, буду поздно/ Пивыне закуски","Куриные крылья, ассорти пивных закусок (гренки, карто- фельные шарики, чипсы креветочные, ломтики вяленой свинины, сыр в хрустящем тесте). ",420,1,Пивная тарелка,Пивная тарелка,Пивная тарелка,,,99999999,1,1,6
1,d019,Сыр в тесте,"Дорогая, буду поздно/ Пивыне закуски","Сырные ломтики в тесте, обжаренные во фритюре. ",160,1,Сыр в тесте,Сыр в тесте,Сыр в тесте,,,99999999,1,1,7
1,d020,Гренки,"Дорогая, буду поздно/ Пивыне закуски",Горячие ржаные гренки. Подаются со сливочно-чесночным соусом и соусом тысяча островов. ,140,1,Гренки,Гренки,Гренки,,,99999999,1,1,7
1,d021,Кесадилья с курицей,"Дорогая, буду поздно/ Пивыне закуски","Запечённая кукурузная тортилья с куриным мясом и сы- ром гауда, слегка обжаренная на сковороде-гриль без масла. Подаётся с соусом сальса и сметаной. ",240,1,Кесадилья с курицей,Кесадилья с курицей,Кесадилья с курицей,,,99999999,1,1,9
1,d022,Кесадилья с говядиной,"Дорогая, буду поздно/ Пивыне закуски","Запечённая кукурузная тортилья с сочным говяжьим мя- сом и сыром гауда, слегка обжаренная на сковороде-гриль без масла. Подаётся с соусом сальса и сметаной. ",240,1,Кесадилья с говядиной,Кесадилья с говядиной,Кесадилья с говядиной,,,99999999,1,1,10
1,d023,Ассорти джерки,"Дорогая, буду поздно/ Пивыне закуски","Вяленые баранина, утка, олень, свинина. По желанию можно заказать любой вид отдельно. ",340/ 150,1,Ассорти джерки,Ассорти джерки,Ассорти джерки,,,99999999,1,1,11
1,d024,Креветки в панировке,"Дорогая, буду поздно/ Пивыне закуски",Со сливочным соусом glaze ,370,1,Креветки в панировке,Креветки в панировке,Креветки в панировке,,,99999999,1,1,12
1,d025,"Креветочные чипсы, обжаренные во фритюре","Дорогая, буду поздно/ Пивыне закуски",С соусом спайс с креветочным мясом ,140,1,"Креветочные чипсы, обжаренные во фритюре","Креветочные чипсы, обжаренные во фритюре","Креветочные чипсы, обжаренные во фритюре",,,99999999,1,1,13
1,d026,Ассорти мясных чипсов,"Дорогая, буду поздно/ Пивыне закуски","Курица, свинина, говядина, индейка. По желанию можно заказать любой вид отдельно.",350/ 150,1,"Курица, свинина, говядина, индейка ","Курица, свинина, говядина, индейка ","Курица, свинина, говядина, индейка ",,,99999999,1,1,14
1,d027,Картофельные дольки в специях,"Дорогая, буду поздно/ Пивыне закуски","Остро-пряные картофельные дольки, обжаренные во фритюре. ",140,1,Картофельные дольки в специях,Картофельные дольки в специях,Картофельные дольки в специях,,,99999999,1,1,15
1,d028,Картофельные шарики,"Дорогая, буду поздно/ Пивыне закуски",Со специями и соусом sweet chili. Обжаренные во фри- тюре до золотистого цвета шарики картофеля со сладко- острым соусом ,190,1,Картофельные шарики,Картофельные шарики,Картофельные шарики,,,99999999,1,1,16
1,d029,Куринные крылья Баффало,"Дорогая, буду поздно/ Пивыне закуски",Пикантные жареные крылья с острым соусом из города Buffalo. Подаются с сельдереем и соусами блю-чиз и ты- сяча островов. ,240,1,Куринные крылья Баффало,Куринные крылья Баффало,Куринные крылья Баффало,,,99999999,1,1,17
1,d030,Авторская уха,"Дорогая, буду поздно/ Супы","С сёмгой, морковью и цуккини в сочетании с домашними рыбными пельменями, приготовленная на ароматном ку- рином бульоне. ",280,1,Авторская уха,Авторская уха,Авторская уха,,,99999999,1,1,1
1,d031,Острый тайский суп,"Дорогая, буду поздно/ Супы","С креветками, лемонграссом, соком лайма, рыбным соусом и перцем чили. Без кокосового молока. ",290,1,Острый тайский суп,Острый тайский суп,Острый тайский суп,,,99999999,1,1,2
1,d032,Суп с костромскими лисичками,"Дорогая, буду поздно/ Супы","Классический костромской грибной суп с овощами, отварными лисичками и картофелем на основе куриного бульона. ",190,1,Суп с костромскими лисичками,Суп с костромскими лисичками,Суп с костромскими лисичками,,,99999999,1,1,3
1,d033,Крем-суп Капучино из белых грибов,"Дорогая, буду поздно/ Супы",Сливочный крем-суп из костромских белых грибов с ароматом имбиря и шапкой из молочной пены в стиле капу- чино. ,240,1,Крем-суп Капучино из белых грибов,Крем-суп Капучино из белых грибов,Крем-суп Капучино из белых грибов,,,99999999,1,1,4
1,d034,Солянка,"Дорогая, буду поздно/ Супы","Знаменитый русский суп на основе крепкого бульона, на- бора мясной гастрономии, отварного говяжьего языка, с солёными огурцами, луком и томатной пастой. ",240,1,Солянка,Солянка,Солянка,,,99999999,1,1,5
1,d035,Венгерский суп-гуляш,"Дорогая, буду поздно/ Супы","Ароматный густой суп, на основе говяжьего бульона, с орехами, разварной говядиной, помидорами и луком. Аромат пикантно дополняется нотами красного вина, ко- торое также присутствует и во вкусе. ",250,1,Венгерский суп-гуляш,Венгерский суп-гуляш,Венгерский суп-гуляш,,,99999999,1,1,6
1,d036,Окрошка,"Дорогая, буду поздно/ Супы","Холодный русский суп. Мелко порезанные свежие овощи (огурец, редис), свежий укроп, куриное яйцо и отварная говядина. Заправляется квасом с дижонской горчицей. Настоящее спасение в летнюю жару. ",190,1,Окрошка,Окрошка,Окрошка,,,99999999,1,1,7
1,d037,Овощи гриль,"Дорогая, буду поздно/ Гарниры","Великолепный гарнир из баклажанов, цуккини, болгарского перца, томата и спаржи, приготовленный на гриле с минимальным использованием масла. ",210,1,Овощи гриль,Овощи гриль,Овощи гриль,,,99999999,1,1,1
1,d038,Кукуруза гриль,"Дорогая, буду поздно/ Гарниры",С маслом карри (обжаренные початки кукурузы с пряным сливочным маслом с карри). ,140,1,Кукуруза гриль,Кукуруза гриль,Кукуруза гриль,,,99999999,1,1,2
1,d039,Картофель фри,"Дорогая, буду поздно/ Гарниры",Обжаренная во фритюре картофельная соломка золотистого цвета. ,140,1,Картофель фри,Картофель фри,Картофель фри,,,99999999,1,1,3
1,d040,Картофель по хорватсяки,"Дорогая, буду поздно/ Гарниры","Картофель, шпинат, сливочное масло, чеснок ",120,1,Картофель по хорватсяки,Картофель по хорватсяки,Картофель по хорватсяки,,,99999999,1,1,4
1,d041,Картофель на углях,"Дорогая, буду поздно/ Гарниры",Обжаренные на угольном гриле дольки картофеля в «мундире». ,110,1,,,,,,99999999,1,1,5
1,d042,"Драники с языком, овощяами и лисичками","Дорогая, буду поздно/ Горячее","Классические картофельные драники, дополненные говя- жьим языком, болгарским перцем, луком и лисичками, тушёнными в сливках, оформленные соусом бальзамик. ",290,1,"Драники с языком, овощяами и лисичками","Драники с языком, овощяами и лисичками","Драники с языком, овощяами и лисичками",,,99999999,1,1,1
1,d043,Драники с осетриной в соусе белое вино,"Дорогая, буду поздно/ Горячее","Картофельные драники с волгореченской осетриной, томленой с луком в белом вине со сливками. ",310,1,Драники с осетриной в соусе белое вино,Драники с осетриной в соусе белое вино,Драники с осетриной в соусе белое вино,,,99999999,1,1,2
1,d044,Фирменный бургер с беконом,"Дорогая, буду поздно/ Горячее","С копчёной котлетой, малосольными огурцами и беконом. Подаётся с картофелем по-деревенски и оригинальным кетчупом. ",280,1,Фирменный бургер с беконом,Фирменный бургер с беконом,Фирменный бургер с беконом,,,99999999,1,1,3
1,d045,Бургер с мраморной говядиной,"Дорогая, буду поздно/ Горячее","С котлетой из мраморной говядины отруба skirt, тостерным сыром, помидорами и листьями салата. Подаётся с картофелем по-деревенски и соусом барбекю. По жела- нию можно добавить красный лук. ",350,1,Бургер с мраморной говядиной,Бургер с мраморной говядиной,Бургер с мраморной говядиной,,,99999999,1,1,4
1,d046,Паста с семгой и треской,"Дорогая, буду поздно/ Горячее","Домашняя томатная паста с жареной семгой и треской, коктейльными креветками в сливках ",320,1,Паста с семгой и треской,Паста с семгой и треской,Паста с семгой и треской,,,99999999,1,1,5
1,d047,Паста Карбонара,"Дорогая, буду поздно/ Горячее",Домашняя паста со сливочным соусом и жареным беконом. ,280,1,Паста Карбонара,Паста Карбонара,Паста Карбонара,,,99999999,1,1,6
1,d048,Паста с индейкой,"Дорогая, буду поздно/ Горячее","Домашняя паста с кусочками индейки, томлёными в сливочном соусе карри. Дополненная слайсами из острой бастурмы и стружкой твёрдого сыра. ",280,1,Паста с индейкой,Паста с индейкой,Паста с индейкой,,,99999999,1,1,7
1,d049,Рагу из костромского кролика,"Дорогая, буду поздно/ Горячее",С овощами в сметанном соусе с розмарином и картофель- ным гратеном с луком пореем и лисичками. ,320,1,Рагу из костромского кролика,Рагу из костромского кролика,Рагу из костромского кролика,,,99999999,1,1,8
1,d050,Ribeye - стейк,"Дорогая, буду поздно/ Гриль","Стейк-рибай из подлопаточной части, Грейд мраморно- сти Prime. Сочный и ароматный стейк с плотной конси- стенцией и нежным вкусом. Рекомендуемая прожарка Medium Rare. С острыми крафтовыми соусами (на вы- бор: чесночный, барбекю, таежный с черемшой). цена указана за 100 гр сырого мяса, приблизительный вес стейка от - 450 гр",450,1,Ribeye - стейк,Ribeye - стейк,Ribeye - стейк,,,99999999,1,1,1
1,d051,New York - стейк,"Дорогая, буду поздно/ Гриль","Состоит из одной мышцы и имеет тонкий слой жира с одной стороны. Нежная текстура стейка, плотное мясо и ярко выраженный говяжий вкус. Грейд мраморности Prime. С острыми крафтовыми соусами (на выбор: чес- ночный, барбекю, таежный с черемшой). Цена указана за 100 гр сырого мяса, приблизительный вес стейка - от 250 гр.",450,1,New York - стейк,New York - стейк,New York - стейк,,,99999999,1,1,2
1,d052,T - Bone - стейк,"Дорогая, буду поздно/ Гриль","Стейк Тибон сочетает в себе два постных и нежных стейка, «нью-йорк» и филе-миньон, соединенных Т-образной косточкой. Минимальное количество жира с максимальным говяжьим вкусом и ароматом. С остры- ми крафтовыми соусами (на выбор: чесночный, барбе- кю, таежный с черемшой). Цена указана за 100 гр сырого мяса, приблизительный вес стейка - от 600 гр",400,1,T - Bone - стейк,T - Bone - стейк,T - Bone - стейк,,,99999999,1,1,3
1,d053,Denver - стейк,"Дорогая, буду поздно/ Гриль","Стейк из из шейно-лопаточной части. Обладает насыщенной мраморностью, что придает готовому блюду сладковатый привкус и мягкость. Рекомендуемая прожарка Medium.",580,1,Denver - стейк,Denver - стейк,Denver - стейк,,,99999999,1,1,4
1,d054,Top Blade - стейк,"Дорогая, буду поздно/ Гриль","В нем сочетается сочность, прекрасный мясной аромат, и полное отсутствие прослоек жира в самом стейке. Рекомендуемая прожарка медиум.",580/ 300,1,Top Blade - стейк,Top Blade - стейк,Top Blade - стейк,,,99999999,1,1,5
1,d055,Flank - стейк,"Дорогая, буду поздно/ Гриль",Обладает ярко выраженной волокнистостью. Сочный и плотный по консистенции стейк с насыщенным говяжьим вкусом. Рекомендуемая прожарка Medium Rare ,620,1,Flank - стейк,Flank - стейк,Flank - стейк,,,99999999,1,1,6
1,d056,Стейк Пиканья,"Дорогая, буду поздно/ Гриль","Глазированный соусом Чипотле. Вырезается из верхней части тазобедренного отруба, особо почитается в Латинской Америке. Сочный стейк с ярким мясным вкусом, говя- жьим ароматом и большой жировой прослойкой. ",580/ 300,1,Стейк Пиканья,Стейк Пиканья,Стейк Пиканья,,,99999999,1,1,7
1,d057,Skirt - стейк,"Дорогая, буду поздно/ Гриль","Обладает ярко выраженным мясным и кровяным вкусом, маринуется в соусе ворчестер.",660/ 400,1,Skirt - стейк,Skirt - стейк,Skirt - стейк,,,99999999,1,1,8
1,d058,Филе Миньон,"Дорогая, буду поздно/ Гриль","Маринованная по специальному рецепту говяжья вырезка с прожаркой по вашему вкусу, приготовленная на гриле, ",480,1,Филе Миньон,Филе Миньон,Филе Миньон,,,99999999,1,1,9
1,d059,Стейк из розовой телятины на кости,"Дорогая, буду поздно/ Гриль",Сочный ароматный стейк из молодой телятины на косточке. Цена указана за 100 гр сырого мяса ,290,1,Стейк из розовой телятины на кости,Стейк из розовой телятины на кости,Стейк из розовой телятины на кости,,,99999999,1,1,10
1,d060,Бифштекс из костромского кролика,"Дорогая, буду поздно/ Гриль","С гарниром из мини-кукурузы и спаржи. Нежное диетичес- кое мясо, в балансе с тонким вкусом овощей и сладко- кислым смородиновым гелем. Вершина всего — легкий аромат угольного гриля. ",260,1,Бифштекс из костромского кролика,Бифштекс из костромского кролика,Бифштекс из костромского кролика,,,99999999,1,1,11
1,d061,Язык на гриле,"Дорогая, буду поздно/ Гриль","Кусочки говяжьего языка, глазированные гранатовым соу- сом, дополненные гарниром из овощей-гриль (картофель, морковь, перец болгарский, лук).",260,1,Язык на гриле,Язык на гриле,Язык на гриле,,,99999999,1,1,12
1,d062,Баранина на косточке,"Дорогая, буду поздно/ Гриль","Кусочки сочной баранины на кости, обжаренные на гри- ле. Рекомендуемая прожарка Medium. Подаются с луком. цена указана за 100 гр сырого мяса ",270,1,Баранина на косточке,Баранина на косточке,Баранина на косточке,,,99999999,1,1,13
1,d063,Люля-Кебаб из мраморной говядины,"Дорогая, буду поздно/ Гриль","Cочный люля из мраморной говядины, в котором вкус говя- дины отлично дополняется свежим базиликом, вялеными помидорами и ароматом от угольного гриля. Подаётся с луком. ",320,1,Люля-Кебаб из мраморной говядины,Люля-Кебаб из мраморной говядины,Люля-Кебаб из мраморной говядины,,,99999999,1,1,14
1,d064,Стейк из осетрины,"Дорогая, буду поздно/ Гриль","С соусом из белых грибов, гарнированный картофелем на углях. Кусочки волгореченской осетрины, приготовлен- ные на гриле, с картофелем на углях и соусом из костром- ских белых грибов cо сливками и луком-шалот. ",490,1,Стейк из осетрины,Стейк из осетрины,Стейк из осетрины,,,99999999,1,1,15
1,d065,Стейк из свинины,"Дорогая, буду поздно/ Гриль",Стейк с картофелем по-хорватски из свиной шеи. Подаётся с фирменным кетчупом.,340,1,Стейк из свинины,Стейк из свинины,Стейк из свинины,,,99999999,1,1,16
1,d066,Мясная тарелка гриль,"Дорогая, буду поздно/ Гриль","Большое ассорти из мяса, приготовленное на гриле (люля-кебаб из говядины, маринованное куриное филе, стейк из индейки, свиные рёбра, глазированный говяжий язык, шашлык из свинины) с овощами-гриль и тремя вида- ми соуса: барбекю, тысяча островов, сальса. ",880,1,Мясная тарелка гриль,Мясная тарелка гриль,Мясная тарелка гриль,,,99999999,1,1,17
1,d067,Стейк из семги,"Дорогая, буду поздно/ Гриль","С гарниром из овощей-гриль. Стейк из семги, гарниро- ванный запечёнными на угольном гриле болгарским пер- цем, цуккини и баклажаном и соусом песто.",460,1,Стейк из семги,Стейк из семги,Стейк из семги,,,99999999,1,1,18
1,d068,Куриное филе,"Дорогая, буду поздно/ Гриль","Кусочки куриного филе, маринованные в апельсиновом соке, обжаренные на гриле и глазированные малиновым соусом с тёплым салатом из фасоли, миндаля и помидоров. ",290,1,Куриное филе,Куриное филе,Куриное филе,,,99999999,1,1,19
1,d069,Стейк из индейки,"Дорогая, буду поздно/ Гриль","Маринованное в остром соусе с копчёной паприкой и ти- мьяном филе индейки, обжаренное на гриле с йогуртовым соусом в марокканском стиле (йогурт, мята, зира). ",320,1,Стейк из индейки,Стейк из индейки,Стейк из индейки,,,99999999,1,1,20
1,d070,Шашлык из курицы,"Дорогая, буду поздно/ Гриль",Выдержанные в специальном маринаде кусочки куриной грудки. Подаются с луком,230,1,Шашлык из курицы,Шашлык из курицы,Шашлык из курицы,,,99999999,1,1,21
1,d071,Шашлык из свинины,"Дорогая, буду поздно/ Гриль",Ароматные кусочки мяса. Подаются с луком ,270,1,Шашлык из свинины,Шашлык из свинины,Шашлык из свинины,,,99999999,1,1,22
1,d072,Баклажан гриль,"Дорогая, буду поздно/ Гриль","Дольки баклажана, запечённые на угольном гриле, с пастой из вяленых помидоров и орехов кешью с чесноком, дополненные соусом из трав на основе растительного масла. ",240,1,Баклажан гриль,Баклажан гриль,Баклажан гриль,,,99999999,1,1,23
1,d073,Яблочный крамбл,"Дорогая, буду поздно/ Десерты","C мороженым из красной смородины. Запечённые ка- рамелизованные яблоки под хрустящей корочкой, по- даются с шариком мороженого из красной смородины. ",190,1,Яблочный крамбл,Яблочный крамбл,Яблочный крамбл,,,99999999,1,1,1
1,d074,Костромской медовик с вареньем из молодых шишек,"Дорогая, буду поздно/ Десерты","Классический медовик с заварным кремом и костромским мёдом, дополненный вареньем из молодых сосновых шишек и карамельным соусом.",180,1,Костромской медовик с вареньем из молодых шишек,Костромской медовик с вареньем из молодых шишек,Костромской медовик с вареньем из молодых шишек,,,99999999,1,1,2
1,d075,"Теплый шоколадный торт ""Два ореха""","Дорогая, буду поздно/ Десерты",С ванильным мороженым. ,220,1,"Теплый шоколадный торт ""Два ореха""","Теплый шоколадный торт ""Два ореха""","Теплый шоколадный торт ""Два ореха""",,,99999999,1,1,3
1,d076,Тирамису,"Дорогая, буду поздно/ Десерты","Сливочный сыр, сливки, какао, бисквит, кофейный ликер. ",190,1,Тирамису,Тирамису,Тирамису,,,99999999,1,1,4
1,d077,Классический чизкейк,"Дорогая, буду поздно/ Десерты",Десерт из творожного сыра. Подаётся с клубникой в сиропе.,190,1,Классический чизкейк,Классический чизкейк,Классический чизкейк,,,99999999,1,1,5
1,d078,Мороженное из маракуйи с горгонзолой,"Дорогая, буду поздно/ Десерты",Освежающий десерт со стружкой благородного сыра и карамельно-ореховой крошкой. ,160,1,Мороженное из маракуйи с горгонзолой,Мороженное из маракуйи с горгонзолой,Мороженное из маракуйи с горгонзолой,,,99999999,1,1,6
1,d079,Мороженное с перцем чили,"Дорогая, буду поздно/ Десерты",Авторское домашнее мороженое с чили перцем и клубни- кой в сиропе. ,150,1,Мороженное с перцем чили,Мороженное с перцем чили,Мороженное с перцем чили,,,99999999,1,1,7
1,d080,Гречневое мороженное с костромским зефиром и воздушной пшеницей,"Дорогая, буду поздно/ Десерты","Оригинальное сочетание авторского мороженого с аро- матом гречки, знаменитого костромского зефира, зёрен сладкой воздушной пшеницы и шоколадной крошки. ",150,1,Гречневое мороженное с костромским зефиром и воздушной пшеницей,Гречневое мороженное с костромским зефиром и воздушной пшеницей,Гречневое мороженное с костромским зефиром и воздушной пшеницей,,,99999999,1,1,8
1,d081,Мороженное из смородины,"Дорогая, буду поздно/ Десерты",Домашнее мороженое из смородины с ореховой крошкой и хрустящим домашним бисквитом ,190,1,Мороженное из смородины,Мороженное из смородины,Мороженное из смородины,,,99999999,1,1,9
1,d082,Бисквитно - ореховый торт,"Дорогая, буду поздно/ Десерты","Со сгущенкой, арахисовой пастой, крошкой безе и вишнёвым соусом.",190,1,Бисквитно - ореховый торт,Бисквитно - ореховый торт,Бисквитно - ореховый торт,,,99999999,1,1,10
1,d083,Тарелка из сезонных фруктов и ягод,"Дорогая, буду поздно/ Десерты","Фрукты, ягоды.",390,1,Тарелка из сезонных фруктов и ягод,Тарелка из сезонных фруктов и ягод,Тарелка из сезонных фруктов и ягод,,,99999999,1,1,11
1,d084,Фирменный кетчуп,"Дорогая, буду поздно/ Соусы",Томатный соус с корицей. ,50,1,Фирменный кетчуп,Фирменный кетчуп,Фирменный кетчуп,,,99999999,1,1,1
1,d085,Блю - Чиз,"Дорогая, буду поздно/ Соусы",Соус с добавлением благородного сыра с плесе- нью и мёда.,50,1,Блю - Чиз,Блю - Чиз,Блю - Чиз,,,99999999,1,1,2
1,d086,Ткемали,"Дорогая, буду поздно/ Соусы",Остро-кислый соус в грузинском стиле. Прекрас- но подходит к мясу.,70,1,Ткемали,Ткемали,Ткемали,,,99999999,1,1,3
1,d087,Кунжутный,"Дорогая, буду поздно/ Соусы",Соус в восточном стиле.,50,1,Кунжутный,Кунжутный,Кунжутный,,,99999999,1,1,4
1,d088,Тысяча островов,"Дорогая, буду поздно/ Соусы",Классический соус с добавлением паприки. ,50,1,Тысяча островов,Тысяча островов,Тысяча островов,,,99999999,1,1,5
1,d089,Горчичный,"Дорогая, буду поздно/ Соусы",На основе зернистой горчицы. ,50,1,Горчичный,Горчичный,Горчичный,,,99999999,1,1,6
1,d090,Бальзамик,"Дорогая, буду поздно/ Соусы",Соус из бальзамического уксуса с маслом и тра- вами.,50,1,Бальзамик,Бальзамик,Бальзамик,,,99999999,1,1,7
1,d091,Песто,"Дорогая, буду поздно/ Соусы",Соус из базилика и орехов. ,50,1,Песто,Песто,Песто,,,99999999,1,1,8
1,d092,Сальса,"Дорогая, буду поздно/ Соусы",Томатный острый соус с мелконарезанными овощами.,50,1,Сальса,Сальса,Сальса,,,99999999,1,1,9
1,d093,Сацебели,"Дорогая, буду поздно/ Соусы",Сацебели,70,1,Сацебели,Сацебели,Сацебели,,,99999999,1,1,10
1,d094,Сливочно - чесночный,"Дорогая, буду поздно/ Соусы","Ароматный нежный сливочный соус с плавленым сыром, свежей петрушкой и чесноком ",50,1,Сливочно - чесночный,Сливочно - чесночный,Сливочно - чесночный,,,99999999,1,1,11
